siteID,scientificName
SJER,Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli
SJER,Rhamnus ilicifolia Kellogg
SJER,Rhamnaceae sp.
SJER,Quercus wislizeni A. DC.
SJER,Quercus douglasii Hook. & Arn.
SJER,Pinus sabiniana Douglas ex Douglas
SJER,Frangula californica (Eschsch.) A. Gray ssp. cuspidata (Greene) Kartesz & Gandhi
SJER,Aesculus californica (Spach) Nutt.
SJER,Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells
OSBS,Quercus laevis Walter
OSBS,Pinus palustris Mill.
OSBS,Diospyros sp.
OSBS,Quercus hemisphaerica W. Bartram ex Willd.
OSBS,Quercus geminata Small
OSBS,Quercus nigra L.
OSBS,Serenoa repens (W. Bartram) Small
OSBS,Ilex cassine L.
OSBS,Persea palustris (Raf.) Sarg.
OSBS,Pinus taeda L.
OSBS,Pinus elliottii Engelm.
OSBS,Quercus laurifolia Michx.
OSBS,Gordonia lasianthus (L.) Ellis
OSBS,Celtis occidentalis L.
OSBS,Quercus virginiana Mill.
OSBS,Acer rubrum L.
OSBS,Nyssa biflora Walter
OSBS,Quercus sp.
OSBS,Quercus minima (Sarg.) Small
OSBS,Quercus incana W. Bartram
OSBS,Ilex myrtifolia Walter
OSBS,Pinus clausa (Chapm. ex Engelm.) Vasey ex Sarg.
OSBS,Ilex opaca Aiton
OSBS,Sabal sp.
OSBS,Quercus myrtifolia Willd.
OSBS,Quercus margaretta
OSBS,Prunus americana Marshall
OSBS,Pinus sp.
HARV,Acer pensylvanicum L.
HARV,Acer rubrum L.
HARV,Acer saccharinum L
HARV,Acer saccharum Marshall
HARV,Acer saccharum Marshall var. saccharum
HARV,Amelanchier laevis Wiegand
HARV,Amelanchier sp.
HARV,Betula alleghaniensis Britton
HARV,Betula lenta L.
HARV,Betula papyrifera Marshall
HARV,Betula papyrifera Marshall var. papyrifera
HARV,Betula populifolia Marshall
HARV,Carpinus caroliniana Walter ssp. virginiana (Marshall) Furlow
HARV,Carya glabra (Mill.) Sweet
HARV,Carya ovata (Mill.) K. Koch
HARV,Castanea sp.
HARV,Crataegus sp.
HARV,Fagus grandifolia Ehrh.
HARV,Fraxinus americana L.
HARV,Fraxinus sp.
HARV,Gaylussacia baccata
HARV,Nyssa sylvatica Marshall
HARV,Ostrya virginiana (Mill.) K. Koch
HARV,Picea abies (L.) Karst.
HARV,Picea sp.
HARV,Pinus rigida Mill
HARV,Pinus sp.
HARV,Pinus strobus L.
HARV,Prunus serotina Ehrh
HARV,Prunus serotina Ehrh. var. serotina
HARV,Quercus alba L.
HARV,Quercus rubra L.
HARV,Quercus velutina Lam.
HARV,Tsuga canadensis (L.) Carrière
