,image,windows
0,2017_SJER_2_259000_4110000_image.tif,688
1,2017_SJER_2_259000_4110000_image.tif,831
2,2017_SJER_2_259000_4110000_image.tif,1101
3,2017_SJER_2_259000_4110000_image.tif,958
4,2017_SJER_2_259000_4110000_image.tif,648
5,2017_SJER_2_259000_4110000_image.tif,1029
6,2017_SJER_2_259000_4110000_image.tif,1304
7,2017_SJER_2_259000_4110000_image.tif,381
8,2017_SJER_2_259000_4110000_image.tif,750
9,2017_SJER_2_259000_4110000_image.tif,1624
10,2017_SJER_2_259000_4110000_image.tif,562
11,2017_SJER_2_259000_4110000_image.tif,1176
12,2017_SJER_2_259000_4110000_image.tif,1405
13,2017_SJER_2_259000_4110000_image.tif,829
14,2017_SJER_2_259000_4110000_image.tif,321
15,2017_SJER_2_259000_4110000_image.tif,1467
16,2017_SJER_2_259000_4110000_image.tif,1065
17,2017_SJER_2_259000_4110000_image.tif,377
18,2017_SJER_2_259000_4110000_image.tif,1219
19,2017_SJER_2_259000_4110000_image.tif,668
20,2017_SJER_2_259000_4110000_image.tif,900
21,2017_SJER_2_259000_4110000_image.tif,295
22,2017_SJER_2_259000_4110000_image.tif,769
23,2017_SJER_2_259000_4110000_image.tif,975
24,2017_SJER_2_259000_4110000_image.tif,712
25,2017_SJER_2_259000_4110000_image.tif,675
26,2017_SJER_2_259000_4110000_image.tif,1279
27,2017_SJER_2_259000_4110000_image.tif,1584
28,2017_SJER_2_259000_4110000_image.tif,480
29,2017_SJER_2_259000_4110000_image.tif,1534
30,2017_SJER_2_259000_4110000_image.tif,422
31,2017_SJER_2_259000_4110000_image.tif,986
32,2017_SJER_2_259000_4110000_image.tif,694
33,2017_SJER_2_259000_4110000_image.tif,210
34,2017_SJER_2_259000_4110000_image.tif,1173
35,2017_SJER_2_259000_4110000_image.tif,644
36,2017_SJER_2_259000_4110000_image.tif,355
37,2017_SJER_2_259000_4110000_image.tif,929
38,2017_SJER_2_259000_4110000_image.tif,1136
39,2017_SJER_2_259000_4110000_image.tif,1466
40,2017_SJER_2_259000_4110000_image.tif,1474
41,2017_SJER_2_259000_4110000_image.tif,923
42,2017_SJER_2_259000_4110000_image.tif,268
43,2017_SJER_2_259000_4110000_image.tif,1124
44,2017_SJER_2_259000_4110000_image.tif,470
45,2017_SJER_2_259000_4110000_image.tif,1759
46,2017_SJER_2_259000_4110000_image.tif,663
47,2017_SJER_2_259000_4110000_image.tif,188
48,2017_SJER_2_259000_4110000_image.tif,1012
49,2017_SJER_2_259000_4110000_image.tif,301
50,2017_SJER_2_259000_4110000_image.tif,924
51,2017_SJER_2_259000_4110000_image.tif,1469
52,2017_SJER_2_259000_4110000_image.tif,752
53,2017_SJER_2_259000_4110000_image.tif,1716
54,2017_SJER_2_259000_4110000_image.tif,167
55,2017_SJER_2_259000_4110000_image.tif,1284
56,2017_SJER_2_259000_4110000_image.tif,727
57,2017_SJER_2_259000_4110000_image.tif,1329
58,2017_SJER_2_259000_4110000_image.tif,107
59,2017_SJER_2_259000_4110000_image.tif,1087
60,2017_SJER_2_259000_4110000_image.tif,77
61,2017_SJER_2_259000_4110000_image.tif,744
62,2017_SJER_2_259000_4110000_image.tif,1083
63,2017_SJER_2_259000_4110000_image.tif,945
64,2017_SJER_2_259000_4110000_image.tif,1481
65,2017_SJER_2_259000_4110000_image.tif,1228
66,2017_SJER_2_259000_4110000_image.tif,432
67,2017_SJER_2_259000_4110000_image.tif,1286
68,2017_SJER_2_259000_4110000_image.tif,1047
69,2017_SJER_2_259000_4110000_image.tif,1502
70,2017_SJER_2_259000_4110000_image.tif,957
71,2017_SJER_2_259000_4110000_image.tif,1056
72,2017_SJER_2_259000_4110000_image.tif,71
73,2017_SJER_2_259000_4110000_image.tif,874
74,2017_SJER_2_259000_4110000_image.tif,113
75,2017_SJER_2_259000_4110000_image.tif,1001
76,2017_SJER_2_259000_4110000_image.tif,81
77,2017_SJER_2_259000_4110000_image.tif,776
78,2017_SJER_2_259000_4110000_image.tif,656
79,2017_SJER_2_259000_4110000_image.tif,767
80,2017_SJER_2_259000_4110000_image.tif,661
81,2017_SJER_2_259000_4110000_image.tif,247
82,2017_SJER_2_259000_4110000_image.tif,1225
83,2017_SJER_2_259000_4110000_image.tif,1187
84,2017_SJER_2_259000_4110000_image.tif,1183
85,2017_SJER_2_259000_4110000_image.tif,1749
86,2017_SJER_2_259000_4110000_image.tif,361
87,2017_SJER_2_259000_4110000_image.tif,1368
88,2017_SJER_2_259000_4110000_image.tif,1252
89,2017_SJER_2_259000_4110000_image.tif,70
90,2017_SJER_2_259000_4110000_image.tif,72
91,2017_SJER_2_259000_4110000_image.tif,405
92,2017_SJER_2_259000_4110000_image.tif,1158
93,2017_SJER_2_259000_4110000_image.tif,1178
94,2017_SJER_2_259000_4110000_image.tif,558
95,2017_SJER_2_259000_4110000_image.tif,341
96,2017_SJER_2_259000_4110000_image.tif,1665
97,2017_SJER_2_259000_4110000_image.tif,1218
98,2017_SJER_2_259000_4110000_image.tif,1348
99,2017_SJER_2_259000_4110000_image.tif,1258
100,2017_SJER_2_259000_4110000_image.tif,1558
101,2017_SJER_2_259000_4110000_image.tif,691
102,2017_SJER_2_259000_4110000_image.tif,203
103,2017_SJER_2_259000_4110000_image.tif,985
