image_path,xmin,ymin,xmax,ymax,label
OSBS_029.png,203,67,227,90,Tree
OSBS_029.png,256,99,288,140,Tree
OSBS_029.png,166,253,225,304,Tree
OSBS_029.png,365,2,400,27,Tree
OSBS_029.png,312,13,349,47,Tree
OSBS_029.png,365,21,400,70,Tree
OSBS_029.png,278,1,312,37,Tree
OSBS_029.png,364,204,400,246,Tree
OSBS_029.png,90,117,121,145,Tree
OSBS_029.png,115,109,150,152,Tree
OSBS_029.png,161,155,199,191,Tree
OSBS_029.png,120,153,160,192,Tree
OSBS_029.png,349,290,375,320,Tree
OSBS_029.png,1,153,53,217,Tree
OSBS_029.png,1,218,41,254,Tree
OSBS_029.png,65,143,117,190,Tree
OSBS_029.png,368,78,400,110,Tree
OSBS_029.png,149,95,203,156,Tree
OSBS_029.png,154,195,190,229,Tree
OSBS_029.png,103,195,153,244,Tree
OSBS_029.png,49,377,75,400,Tree
OSBS_029.png,116,367,151,400,Tree
OSBS_029.png,234,243,253,267,Tree
OSBS_029.png,292,367,337,400,Tree
OSBS_029.png,333,336,374,384,Tree
OSBS_029.png,1,13,39,62,Tree
OSBS_029.png,1,65,40,106,Tree
OSBS_029.png,50,3,102,57,Tree
OSBS_029.png,102,36,130,68,Tree
OSBS_029.png,156,5,180,38,Tree
OSBS_029.png,186,1,231,40,Tree
OSBS_029.png,382,260,400,305,Tree
OSBS_029.png,331,128,363,161,Tree
OSBS_029.png,332,84,360,118,Tree
OSBS_029.png,363,115,393,146,Tree
OSBS_029.png,117,263,149,307,Tree
OSBS_029.png,100,309,155,371,Tree
OSBS_029.png,179,359,214,398,Tree
OSBS_029.png,199,340,231,374,Tree
OSBS_029.png,177,308,214,343,Tree
OSBS_029.png,239,306,279,342,Tree
OSBS_029.png,275,332,310,374,Tree
OSBS_029.png,53,192,90,238,Tree
OSBS_029.png,115,64,151,103,Tree
OSBS_029.png,53,69,96,117,Tree
OSBS_029.png,263,243,289,282,Tree
OSBS_029.png,331,42,369,87,Tree
OSBS_029.png,252,47,283,87,Tree
OSBS_029.png,291,89,333,138,Tree
OSBS_029.png,288,136,315,167,Tree
OSBS_029.png,203,88,247,139,Tree
OSBS_029.png,257,198,289,232,Tree
OSBS_029.png,31,341,58,372,Tree
OSBS_029.png,19,368,52,400,Tree
OSBS_029.png,1,261,31,296,Tree
OSBS_029.png,73,241,113,287,Tree
OSBS_029.png,60,292,96,332,Tree
OSBS_029.png,89,362,114,390,Tree
OSBS_029.png,236,132,253,152,Tree
OSBS_029.png,316,174,346,214,Tree
OSBS_029.png,220,208,251,244,Tree
